,0,1,accuracy,macro avg,weighted avg,name,best_params
0,"{'precision': 0.9904993909866017, 'recall': 0.9544600938967136, 'f1-score': 0.9721458457860132, 'support': 4260.0}","{'precision': 0.4684931506849315, 'recall': 0.8142857142857143, 'f1-score': 0.5947826086956521, 'support': 210.0}",0.9478747203579418,"{'precision': 0.7294962708357666, 'recall': 0.8843729040912139, 'f1-score': 0.7834642272408326, 'support': 4470.0}","{'precision': 0.9659756078851809, 'recall': 0.9478747203579418, 'f1-score': 0.9544173715602916, 'support': 4470.0}",complement_bayes,"{'alpha': 0.01, 'norm': False}"
1,"{'precision': 0.9890270665691295, 'recall': 0.9534555712270804, 'f1-score': 0.970915619389587, 'support': 4254.0}","{'precision': 0.4634146341463415, 'recall': 0.7916666666666666, 'f1-score': 0.5846153846153846, 'support': 216.0}",0.9456375838926174,"{'precision': 0.7262208503577355, 'recall': 0.8725611189468735, 'f1-score': 0.7777655020024858, 'support': 4470.0}","{'precision': 0.9636283450023908, 'recall': 0.9456375838926174, 'f1-score': 0.9522487624072093, 'support': 4470.0}",multinomial_bayes,{'alpha': 0.01}
